message_text,sender,length,word_count,exclamation_count,question_count,uppercase_ratio,digit_count,scam_keyword_count,has_urls,url_count,has_urgency,requests_action,mentions_money,mentions_account,has_threat,is_scam
"URGENT: Your bank account has been suspended! Click here to verify: http://bit.ly/bank123",12345,91,13,1,0,0.11,5,4,1,1,1,1,1,1,1,1
"Hi John, your package will be delivered tomorrow between 2-5pm. Track: https://fedex.com/track/abc123",FedEx,104,14,0,0,0.02,5,0,1,1,0,0,0,0,0,0
"You have won $10000 cash prize! Claim now at winner-prize.tk/claim?id=999 Limited time!",88888,92,13,1,0,0.02,5,3,1,1,1,1,1,0,0,1
"Your appointment reminder: Dr. Smith tomorrow at 3pm. Reply CONFIRM or call 555-1234 to reschedule.",Clinic,103,15,0,0,0.08,7,1,0,0,0,1,0,0,0,0
"FINAL NOTICE: Unusual activity on your account. Verify immediately or face suspension http://secure-bank-verify.tk",55555,115,14,1,0,0.24,0,5,1,1,1,1,0,1,1,1
"Thank you for your order #12345. Your total is $49.99. Track delivery: https://amazon.com/order/12345",Amazon,104,14,0,0,0.03,10,0,1,1,0,0,1,0,0,0
"IRS ALERT: You owe back taxes! Pay immediately to avoid arrest warrant. Call 888-555-9999 NOW!",Gov,95,15,2,0,0.35,7,5,0,0,1,1,1,0,1,1
"Your verification code is 492816. Do not share this code with anyone. Valid for 10 minutes.",Service,94,15,0,0,0.05,7,1,0,0,0,0,0,0,0,0
"CONGRATULATIONS! You're selected for FREE iPhone 15! Click: http://free-iphone.xyz/winner?u=12345",77777,99,10,2,0,0.23,4,2,1,1,0,1,1,0,0,1
"Hi, this is Sarah from your credit card company. Please confirm your account details at our secure portal.",unknown,110,18,0,0,0.02,0,2,0,0,0,1,0,1,0,1
"Your prescription is ready for pickup at CVS Pharmacy. Store hours: 9am-9pm. Questions? Call 555-2345",CVS,104,15,0,1,0.07,9,0,0,0,0,0,0,0,0,0
"URGENT SECURITY ALERT! Unauthorized login detected. Reset password now: http://192.168.1.1/reset",Security,98,11,2,0,0.34,8,3,1,1,1,1,0,0,0,1
"Meeting rescheduled to Thursday 2pm. Conference room B. See you there!",Colleague,73,11,1,0,0.04,1,0,0,0,0,0,0,0,0,0
"Your Amazon package delivery failed. Update shipping address: http://amzn-redelivery.tk/update?id=abc",Delivery,105,11,0,0,0.03,1,2,1,1,0,1,0,0,0,1
"Reminder: Your car insurance payment of $150 is due on 15th. Pay online at our website or call us.",Insurance,101,18,0,0,0.04,3,1,1,0,0,0,1,0,0,0
"LIMITED TIME OFFER! Get 50% discount on all products! Shop now: http://super-deals.xyz",Promo,88,13,2,0,0.32,2,1,1,1,1,1,0,0,0,1
"Your flight UA123 is delayed by 2 hours. New departure time: 5:30pm. Check status: https://united.com",United,103,15,0,0,0.05,7,0,1,1,0,0,0,0,0,0
"LAST CHANCE to claim your inheritance of $5 million dollars! Contact our law firm immediately!",Legal,96,14,1,0,0.24,1,3,0,0,1,1,1,0,0,1
"Your Netflix subscription will expire in 3 days. Renew now to continue watching.",Netflix,84,13,0,0,0.04,1,1,0,0,0,0,0,0,0,0
"PayPal Security: We've detected suspicious activity. Confirm your identity: http://paypal-secure.tk/login",PayPal,106,13,0,0,0.03,0,3,1,1,0,1,0,0,0,1
"Happy birthday! 🎂 Hope you have an amazing day! Let's celebrate this weekend!",Friend,81,13,3,0,0.03,0,0,0,0,0,0,0,0,0,0
"CRITICAL: Your computer is infected with virus! Download cleaner now: http://pc-cleaner.tk/download",Tech,99,13,2,0,0.26,0,2,1,1,0,1,0,0,0,1
"Your table for 4 at Italian Garden is confirmed for Saturday 7pm. Reply to modify or cancel.",Restaurant,93,16,0,0,0.04,2,0,0,0,0,1,0,0,0,0
"ACT NOW! Government stimulus check of $1200 waiting! Claim: http://govt-stimulus.tk/claim?ssn=",Govt,93,11,2,0,0.28,4,3,1,1,1,1,1,0,0,1
"Your Uber ride with Sarah arrives in 3 minutes. Honda Civic - License ABC123.",Uber,78,13,0,0,0.05,4,0,0,0,0,0,0,0,0,0
"FRAUD ALERT: $500 withdrawn from your account! Call 888-999-7777 immediately to stop transaction!",Bank,97,13,2,0,0.33,7,4,0,0,1,1,1,1,0,1
"Your gym membership will auto-renew next week for $30. To cancel, visit our website or call us.",Fitness,96,16,0,0,0.03,2,1,0,0,0,0,1,0,0,0
"You've been approved for a $50000 personal loan! No credit check! Apply: http://fast-loans.xyz",Loans,95,14,2,0,0.04,5,2,1,1,0,1,1,0,0,1
"Weather alert: Heavy rain expected tomorrow. High 65F, Low 52F. Plan accordingly.",Weather,85,12,0,0,0.03,4,0,0,0,0,0,0,0,0,0
"AMAZON ALERT: Order #12345 requires payment method update. Update now: http://amz-update-pay.tk",Amazon,96,12,1,0,0.29,5,3,1,1,1,1,1,0,0,1
